==========================================
SLURM Job Information
==========================================
Job ID: 633
Job Name: motionr1_sft
Node: journey
Start Time: Mon Feb  9 02:14:41 PM EST 2026
==========================================

==========================================
Training Configuration
==========================================
Model: Qwen/Qwen2.5-VL-7B-Instruct
Dataset: /mnt/data/stgr/json_data/STGR-SFT-subset-motion.json (5,696 samples with motion tags)
Output: outputs/sft_full_slurm_633
GPUs: 4 (DeepSpeed ZeRO-2)
Expected Duration: ~6-8 hours
==========================================

[INFO] Running in WANDB offline mode
[INFO] Running in WANDB offline mode
[INFO] Running in WANDB offline mode
[INFO] Running in WANDB offline mode
[Rank 2] Model moved to cuda:2[Rank 3] Model moved to cuda:3
[Rank 1] Model moved to cuda:1
[Rank 0] Model moved to cuda:0

Before initializing optimizer states
MA 16.46 GB         Max_MA 19.31 GB         CA 19.32 GB         Max_CA 19 GB 
CPU Virtual Memory:  used = 113.6 GB, percent = 45.2%
After initializing optimizer states
MA 16.46 GB         Max_MA 16.46 GB         CA 19.32 GB         Max_CA 19 GB 
CPU Virtual Memory:  used = 119.64 GB, percent = 47.6%
After initializing ZeRO optimizer
MA 16.46 GB         Max_MA 16.46 GB         CA 19.32 GB         Max_CA 19 GB 
CPU Virtual Memory:  used = 119.32 GB, percent = 47.5%
{'loss': '0.3993', 'grad_norm': '6.526', 'learning_rate': '8.104e-07', 'entropy': '4.694', 'num_tokens': '3.122e+06', 'mean_token_accuracy': '0.8942', 'epoch': '0.1896'}
{'loss': '0.3843', 'grad_norm': '7.89', 'learning_rate': '8.034e-07', 'entropy': '4.522', 'num_tokens': '3.237e+06', 'mean_token_accuracy': '0.899', 'epoch': '0.1966'}
{'loss': '0.3731', 'grad_norm': '8.771', 'learning_rate': '7.963e-07', 'entropy': '4.253', 'num_tokens': '3.352e+06', 'mean_token_accuracy': '0.9009', 'epoch': '0.2037'}
{'loss': '0.3711', 'grad_norm': '5.306', 'learning_rate': '7.893e-07', 'entropy': '4.011', 'num_tokens': '3.469e+06', 'mean_token_accuracy': '0.8955', 'epoch': '0.2107'}
{'loss': '0.3606', 'grad_norm': '6.563', 'learning_rate': '7.823e-07', 'entropy': '3.942', 'num_tokens': '3.585e+06', 'mean_token_accuracy': '0.8992', 'epoch': '0.2177'}
{'loss': '0.3595', 'grad_norm': '11.28', 'learning_rate': '7.753e-07', 'entropy': '3.72', 'num_tokens': '3.699e+06', 'mean_token_accuracy': '0.9011', 'epoch': '0.2247'}
{'loss': '0.3497', 'grad_norm': '6.087', 'learning_rate': '7.683e-07', 'entropy': '3.536', 'num_tokens': '3.815e+06', 'mean_token_accuracy': '0.9013', 'epoch': '0.2317'}
{'loss': '0.3467', 'grad_norm': '13.76', 'learning_rate': '7.612e-07', 'entropy': '3.48', 'num_tokens': '3.93e+06', 'mean_token_accuracy': '0.9014', 'epoch': '0.2388'}
{'loss': '0.3514', 'grad_norm': '6.489', 'learning_rate': '7.542e-07', 'entropy': '3.356', 'num_tokens': '4.046e+06', 'mean_token_accuracy': '0.8986', 'epoch': '0.2458'}
{'loss': '0.3458', 'grad_norm': '4.532', 'learning_rate': '7.472e-07', 'entropy': '3.22', 'num_tokens': '4.162e+06', 'mean_token_accuracy': '0.8998', 'epoch': '0.2528'}
{'loss': '0.3471', 'grad_norm': '9.448', 'learning_rate': '7.402e-07', 'entropy': '3.169', 'num_tokens': '4.276e+06', 'mean_token_accuracy': '0.9003', 'epoch': '0.2598'}
{'loss': '0.3281', 'grad_norm': '8.03', 'learning_rate': '7.331e-07', 'entropy': '3.038', 'num_tokens': '4.39e+06', 'mean_token_accuracy': '0.9045', 'epoch': '0.2669'}
{'loss': '0.3301', 'grad_norm': '4.901', 'learning_rate': '7.261e-07', 'entropy': '3.023', 'num_tokens': '4.505e+06', 'mean_token_accuracy': '0.9023', 'epoch': '0.2739'}
{'loss': '0.3449', 'grad_norm': '14.68', 'learning_rate': '7.191e-07', 'entropy': '2.748', 'num_tokens': '4.621e+06', 'mean_token_accuracy': '0.8993', 'epoch': '0.2809'}
{'loss': '0.3381', 'grad_norm': '4.525', 'learning_rate': '7.121e-07', 'entropy': '2.586', 'num_tokens': '4.736e+06', 'mean_token_accuracy': '0.8999', 'epoch': '0.2879'}
{'loss': '0.3297', 'grad_norm': '4.783', 'learning_rate': '7.051e-07', 'entropy': '2.603', 'num_tokens': '4.854e+06', 'mean_token_accuracy': '0.9017', 'epoch': '0.2949'}
{'loss': '0.3428', 'grad_norm': '5.79', 'learning_rate': '6.98e-07', 'entropy': '2.548', 'num_tokens': '4.969e+06', 'mean_token_accuracy': '0.8994', 'epoch': '0.302'}
{'loss': '0.3335', 'grad_norm': '8.576', 'learning_rate': '6.91e-07', 'entropy': '2.472', 'num_tokens': '5.086e+06', 'mean_token_accuracy': '0.9015', 'epoch': '0.309'}
{'loss': '0.334', 'grad_norm': '4.01', 'learning_rate': '6.84e-07', 'entropy': '2.35', 'num_tokens': '5.202e+06', 'mean_token_accuracy': '0.8992', 'epoch': '0.316'}
{'loss': '0.3199', 'grad_norm': '6.719', 'learning_rate': '6.77e-07', 'entropy': '2.294', 'num_tokens': '5.318e+06', 'mean_token_accuracy': '0.9028', 'epoch': '0.323'}
{'loss': '0.3178', 'grad_norm': '3.741', 'learning_rate': '6.699e-07', 'entropy': '2.223', 'num_tokens': '5.433e+06', 'mean_token_accuracy': '0.9054', 'epoch': '0.3301'}
{'loss': '0.322', 'grad_norm': '3.831', 'learning_rate': '6.629e-07', 'entropy': '2.13', 'num_tokens': '5.55e+06', 'mean_token_accuracy': '0.9025', 'epoch': '0.3371'}
{'loss': '0.3356', 'grad_norm': '4.567', 'learning_rate': '6.559e-07', 'entropy': '2.105', 'num_tokens': '5.666e+06', 'mean_token_accuracy': '0.8971', 'epoch': '0.3441'}
{'loss': '0.3292', 'grad_norm': '7.286', 'learning_rate': '6.489e-07', 'entropy': '2.026', 'num_tokens': '5.782e+06', 'mean_token_accuracy': '0.8975', 'epoch': '0.3511'}
{'loss': '0.3162', 'grad_norm': '13.94', 'learning_rate': '6.419e-07', 'entropy': '2.015', 'num_tokens': '5.899e+06', 'mean_token_accuracy': '0.9045', 'epoch': '0.3581'}
{'loss': '0.3118', 'grad_norm': '4.392', 'learning_rate': '6.348e-07', 'entropy': '1.946', 'num_tokens': '6.015e+06', 'mean_token_accuracy': '0.9043', 'epoch': '0.3652'}
{'loss': '0.3196', 'grad_norm': '3.691', 'learning_rate': '6.278e-07', 'entropy': '1.86', 'num_tokens': '6.13e+06', 'mean_token_accuracy': '0.9014', 'epoch': '0.3722'}
